No,Kode,Makanan,Air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Serat(g),Abu(g),Kalsium(mg),Fosfor(mg),Besi(mg),Natrium(mg),Kalium(mg),Tembaga(mg),Seng(mg),Retinol (mcg),β-karoten(mcg),Karoten total(mcg),Vit B1(mg),Vit B2(mg),Niasin(mg),Vitamin C(mg),BDD(%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019,Utama/Snack
147,BP012,Ubi jalar tinta/ kemayung kukus,58.5,165,0.9,0.2,39.8,1.1,0.6,20,23,0.8,1,0.9,0.1,0.2,-,-,-,0.02,0.1,0.5,-,100,Olahan,Umbi,KZGPI-1990,Utama
148,BP013,Bagea kelapa asin,3.5,450,3.2,13.9,78.1,-,1.3,38,38,0.3,74,-,0.2,0.2,-,-,-,0.3,-,-,-,100,Olahan,Umbi,KZGMI-2001,Snack
149,BP014,Bagea kelapa manis,3,452,1.3,13.8,80.6,-,1.3,38,39,0.3,75,-,0.2,0.2,-,-,0.3,-,-,-,-,100,Olahan,Umbi,KZGMI-2001,Snack
150,BP015,Bagea kenari asin,2.8,529,3.2,29.1,63.6,-,1.3,38,40,0.4,74,-,0.2,0.2,-,-,-,0.3,-,-,-,100,Olahan,Umbi,KZGMI-2001,Snack
151,BP016,Bagea kenari manis,3.1,523,3.2,28.2,64.2,-,1.3,38,39,0.3,74,-,0.2,0.2,-,-,-,0.3,-,-,-,100,Olahan,Umbi,KZGMI-2001,Snack
158,BP023,Bubur sagu,62.5,167,0.2,4,33,-,0.3,3,3,0.1,7,-,0.1,0.1,-,-,-,9,-,0.1,-,100,Olahan,Umbi,KZGMI-2001,Utama
159,BP024,Cassavastick,5.6,460,0.8,18.7,17.2,1.6,2.7,144,58,7.5,-,-,-,-,-,-,107,0.19,0.07,0.1,-,100,Olahan,Umbi,KZGPI-1990,Snack
160,BP025,Ceriping getuk singkong,7.2,462,1.2,20.7,67.7,0.6,3.2,1248,172,8.8,-,-,-,-,-,-,152,0.29,0.02,0.5,-,100,Olahan,Umbi,KZGPI-1990,Snack
161,BP026,Gatot,12.8,347,1.3,0.7,83.8,5.8,1.4,78,44,17.1,28,242,0.2,0.7,-,-,-,0.02,0.1,0.4,0.2,100,Olahan,Umbi,BKP,Snack
162,BP027,Geblek,52.1,195,0.4,1.7,44.4,3.6,1.4,35,13,0.6,353,125,0.3,0.3,-,-,0.3,0.02,-,0.1,0.2,100,Olahan,Umbi,BKP,Snack
163,BP028,Getuk goreng,16.5,360,1.3,6.4,74.3,0.8,1.5,59,81,3.2,-,-,-,-,-,-,-,0.21,-,0.1,-,100,Olahan,Umbi,KZGPI-1990,Snack
164,BP029,Getuk singkong,49.8,204,0.5,1.4,47.4,0.8,1.1,97,52,1.5,-,-,-,-,-,-,208,0.08,-,0.1,-,100,Olahan,Umbi,KZGPI-1990,Snack
165,BP030,Gurandil,47.5,218,0.5,2.5,48.5,3.1,1,50,25,2.8,-,-,-,-,-,-,-,0.19,-,-,-,100,Olahan,Umbi,KZGPI-1990,Snack
166,BP031,Kabuto,58.9,250,2.6,2.5,35.4,1.8,0.6,35,49,1.1,2,218,-,-,-,-,-,0.1,0.1,0.6,-,100,Olahan,Umbi,KZGMI-2001,Utama
167,BP032,Kapurung,79.6,41,2,0.3,7.8,2,0.6,34,12,0.3,185,566,0.1,0.3,-,213,-,0.12,0.25,2.7,15,100,Olahan,Umbi,KZGMI-2001,Utama
168,BP033,Kecimpring singkong goreng,3.7,464,1.2,18.6,73,1.3,3.5,82,52,3.4,-,-,-,-,-,-,3320,0.34,-,-,-,100,Olahan,Umbi,KZGPI-1990,Snack
169,BP034,Keremes,6.7,475,1.6,25.2,64.4,2.1,2.1,153,88,1,-,-,-,-,-,-,1000,-,-,-,-,100,Olahan,Umbi,KZGPI-1990,Snack
170,BP035,Keripik gadung,4,446,2.8,14.5,76,1.7,2.8,147,52,1.9,-,-,-,-,-,-,-,0.95,-,-,-,100,Olahan,Umbi,KZGPI-1990,Snack
171,BP036,Keripik kentang,7.8,448,2.7,18.8,67.1,3.8,3.6,25,130,1.2,712,406,1.1,-,-,15,-,0.1,0.05,2.8,-,100,Olahan,Umbi,KZGMI-2001,Snack
172,BP037,Keripik singkong,4.2,478,0.9,20.7,72,2,2.2,189,101,1.9,-,-,-,-,-,-,-,0.24,-,-,-,100,Olahan,Umbi,KZGPI-1990,Snack
173,BP038,Keripik singkong berbumbu,2.2,481,2.2,19.7,73.6,1.6,2.3,156,103,1.6,-,-,-,-,-,-,80,0.31,-,-,-,100,Olahan,Umbi,KZGPI-1990,Snack
174,BP039,Keripik ubi,6,486,0.2,23.9,67.6,14.3,2.3,68,92,0.9,52,2,0.7,2.3,-,920,-,0.1,0.1,0.5,-,100,Olahan,Umbi,KZGMI-2001,Snack
175,BP040,Kerupuk cumi goreng,3.4,444,6.9,14.6,71.3,5,3.8,47,375,1.8,837,191,0.1,0.3,-,-,-,0.4,0.1,1.8,-,100,Olahan,Umbi,KZGMI-2001,Snack
176,BP041,Kerupuk kemplang (ikan) mentah,14.2,325,1.8,0.4,78.5,4.5,5.1,59,268,2.3,1123,273,0.2,0.5,32,-,-,0.6,0.1,2.3,-,100,Olahan,Umbi,KZGMI-2001,Snack
177,BP042,Kerupuk kemplang goreng,5.8,504,5.6,28.1,57.1,0.3,3.4,50,94,2.9,-,-,-,-,6,-,280,0.31,-,-,-,100,Olahan,Umbi,KZGPI-1990,Snack
