No,Kode,Makanan,Air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Serat(g),Abu(g),Kalsium(mg),Fosfor(mg),Besi(mg),Natrium(mg),Kalium(mg),Tembaga(mg),Seng(mg),Retinol (mcg),β-karoten(mcg),Karoten total(mcg),Vit B1(mg),Vit B2(mg),Niasin(mg),Vitamin C(mg),BDD(%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019,Utama/Snack
104,AP105,Sarimuka,61.5,166,2.3,2.8,32.9,-,0.5,36,13,2,3,34,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
106,AP107,Srikaya ketan,41,265,2.7,6.4,49.1,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
107,AP108,Sunduk lawang,63.4,181,1.9,1.3,32.4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
114,AP99,Putri hijau,54.8,189,5.4,2.1,37.2,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KGZMI-2001,Snack
282,CP038,Kembang tahu rebus,79.8,90,10.7,4,4.7,-,0.8,85,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Kacang,KZGPI-1990,Utama
291,CP047,Melinjo emping tebal goreng manis,5.6,439,10,16.4,65.7,-,2.3,66,225,-,-,-,-,-,-,-,-,0.1,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
292,CP048,"Melinjo emping tebal, goreng asin",8,431,11.1,16.2,63,-,1.6,77,-,-,-,-,-,-,-,-,-,0.08,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
293,CP049,Melinjo emping tipis goreng,3.3,485,11.5,24.5,59.1,-,1.5,85,218,-,-,-,-,-,-,-,-,0.11,-,-,-,100,Olahan,Kacang,KZGPI-1990,Snack
611,EP002,Dodol nanas,16.1,338,1.5,1.2,80.3,-,0.9,-,-,-,-,-,-,-,-,-,1240,0.55,-,-,-,100,Olahan,Buah,KZGMI-2001,Snack
612,EP003,Getuk pisang,63.7,144,1.1,0.4,34.1,0.4,0.7,48,32,1,-,-,-,-,-,-,1464,0.34,-,-,-,100,Olahan,Buah,KZGPI-1990,Snack
616,EP007,Loka anjoro,63.3,163,1.1,4.3,30,-,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,100,Olahan,Buah,KZGMI-2001,Snack
618,EP009,Rujak aceh,78.7,82,0.4,0.3,19.7,2.4,0.9,-,-,-,-,-,-,-,-,-,272,0.1,-,-,-,100,Olahan,Buah,KZGMI-2001,Snack
619,EP010,Sale kesemek,25,296,1.1,0.6,71.4,-,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Buah,KZGMI-2001,Snack
620,EP011,Sale pisang siam,28.9,281,2.4,0.7,66.1,1,2,41,64,1.2,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Buah,KZGPI-1990,Snack
622,EP013,Sanggara belanda,47.1,242,6.4,7.1,38.2,-,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Buah,KZGMI-2001,Snack
692,ER068,"Menteng, segar",79,65,1.7,0.3,16.1,-,2.9,13,20,0.8,-,-,-,-,-,-,-,-,-,-,-,64,Tunggal,Buah,DABM-1964,Snack
866,GP006,Ikan baung bakar,69.8,144,17.8,5.8,5.2,-,1.4,18,169,-,168,236,0.1,0.7,-,-,-,-,-,1.3,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
914,GP054,Abon ikan,6.4,435,27.2,20.2,36.1,-,10.1,-,-,-,-,-,-,-,-,-,-,-,0.8,24.3,-,100,Olahan,Ikan dsb,KZGMI-2001,Utama
1073,JR005,"Susu kuda, segar",91,40,2,1.1,5.4,-,0.4,-,-,-,-,37.4,-,-,-,1,-,-,0.2,0.2,-,100,Tunggal,Susu,FCTEA-1972,Semua
